combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp
447936,64,64,7,1.5,0.0,0.025,1,1024,64,0.6800000000000004,0.8375805956401596,0.6961516369902355,success,2025-12-05 13:41:36
418620,64,48,7,1.3,0.0,0.015,4,512,64,0.6800000000000004,0.8569235492784771,0.7134071340713407,success,2025-12-05 13:42:42
430082,64,64,4,1.3,0.0001,0.015,2,1024,256,0.6500000000000004,0.8366595026097636,0.7073707370737073,success,2025-12-05 13:43:18
413919,64,48,6,1.3,0.01,0.02,2,256,64,0.6300000000000003,0.8504758980657047,0.7150380339379754,success,2025-12-05 13:45:53
442850,64,64,6,1.5,0.001,0.01,1,512,256,0.6900000000000004,0.8566165182683451,0.711550339715874,success,2025-12-05 13:47:00
445136,64,64,7,1.0,0.001,0.01,5,512,256,0.6600000000000004,0.8569235492784771,0.7239336492890995,success,2025-12-05 13:48:01
439857,64,64,6,1.0,0.01,0.025,4,256,64,0.6900000000000004,0.8575376112987412,0.7191283292978208,success,2025-12-05 13:49:24
447954,64,64,7,1.5,0.0,0.025,3,1024,64,0.7600000000000005,0.8612219834203254,0.7026315789473684,success,2025-12-05 13:50:02
422247,64,64,3,1.0,0.0001,0.02,2,512,64,0.6100000000000003,0.8507829290758366,0.7200460829493087,success,2025-12-05 13:50:34
423392,64,64,3,1.2,0.0001,0.02,4,512,256,0.7200000000000004,0.8529321461467608,0.7248707639287766,success,2025-12-05 13:51:03
420423,64,48,7,1.5,0.001,0.015,4,1024,64,0.6400000000000003,0.856002456248081,0.7162734422262553,success,2025-12-05 13:52:08
438301,64,64,5,1.8,0.001,0.005,1,256,128,0.6500000000000004,0.8593797973595333,0.7186732186732187,success,2025-12-05 13:54:40
408401,64,48,5,1.5,0.0,0.005,3,1024,256,0.6900000000000004,0.855388394227817,0.7147183525136281,success,2025-12-05 13:55:08
411100,64,48,6,1.0,0.0005,0.005,3,1024,128,0.6900000000000004,0.8603008903899294,0.7140163419233186,success,2025-12-05 13:55:48
446230,64,64,7,1.2,0.001,0.01,2,256,128,0.6100000000000003,0.8434141848326681,0.7141255605381166,success,2025-12-05 13:58:39
409419,64,48,5,1.5,0.01,0.02,2,256,64,0.6500000000000004,0.8477126189745164,0.7119628339140535,success,2025-12-05 14:00:31
420226,64,48,7,1.5,0.0005,0.02,2,1024,128,0.6000000000000003,0.829597789376727,0.6965554948059048,success,2025-12-05 14:01:22
447786,64,64,7,1.5,0.0,0.005,5,256,64,0.6500000000000004,0.8446423088731962,0.7115165336374002,success,2025-12-05 14:04:22
423335,64,64,3,1.2,0.0001,0.015,3,256,256,0.7100000000000004,0.8556954252379491,0.7141119221411192,success,2025-12-05 14:05:16
417830,64,48,7,1.2,0.0005,0.005,1,512,256,0.5500000000000003,0.8464844949339884,0.7109826589595376,success,2025-12-05 14:06:29
413124,64,48,6,1.3,0.0001,0.005,3,1024,64,0.6900000000000004,0.8621430764507215,0.7167192429022082,success,2025-12-05 14:07:35
411316,64,48,6,1.0,0.001,0.005,2,1024,128,0.6400000000000003,0.856002456248081,0.7229769639692853,success,2025-12-05 14:08:45
429189,64,64,4,1.2,0.0005,0.015,3,1024,64,0.6600000000000004,0.8510899600859687,0.7118241235888295,success,2025-12-05 14:09:33
431596,64,64,4,1.5,0.001,0.01,1,256,128,0.6300000000000003,0.8572305802886091,0.7134935304990758,success,2025-12-05 14:10:44
448366,64,64,7,1.5,0.0005,0.02,4,512,128,0.7400000000000004,0.8731961928154743,0.7312947299934938,success,2025-12-05 14:12:45
418847,64,48,7,1.3,0.0001,0.015,4,512,256,0.6800000000000004,0.8652133865520417,0.7158576051779936,success,2025-12-05 14:14:41
440154,64,64,6,1.2,0.0001,0.01,2,256,64,0.5800000000000003,0.8440282468529321,0.7060185185185185,success,2025-12-05 14:17:04
409157,64,48,5,1.5,0.001,0.015,2,1024,256,0.6000000000000003,0.8455634019035922,0.7114170969592656,success,2025-12-05 14:17:44
