combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size
270168,48,32,6,1.0,0.0,0.02,4,1024,64
270169,48,32,6,1.0,0.0,0.02,4,1024,128
270170,48,32,6,1.0,0.0,0.02,4,1024,256
270171,48,32,6,1.0,0.0,0.02,5,256,64
270172,48,32,6,1.0,0.0,0.02,5,256,128
270173,48,32,6,1.0,0.0,0.02,5,256,256
270174,48,32,6,1.0,0.0,0.02,5,512,64
270175,48,32,6,1.0,0.0,0.02,5,512,128
270176,48,32,6,1.0,0.0,0.02,5,512,256
270177,48,32,6,1.0,0.0,0.02,5,1024,64
270178,48,32,6,1.0,0.0,0.02,5,1024,128
270179,48,32,6,1.0,0.0,0.02,5,1024,256
270180,48,32,6,1.0,0.0,0.025,1,256,64
270181,48,32,6,1.0,0.0,0.025,1,256,128
270182,48,32,6,1.0,0.0,0.025,1,256,256
270183,48,32,6,1.0,0.0,0.025,1,512,64
270184,48,32,6,1.0,0.0,0.025,1,512,128
270185,48,32,6,1.0,0.0,0.025,1,512,256
270186,48,32,6,1.0,0.0,0.025,1,1024,64
270187,48,32,6,1.0,0.0,0.025,1,1024,128
270188,48,32,6,1.0,0.0,0.025,1,1024,256
270189,48,32,6,1.0,0.0,0.025,2,256,64
270190,48,32,6,1.0,0.0,0.025,2,256,128
270191,48,32,6,1.0,0.0,0.025,2,256,256
270192,48,32,6,1.0,0.0,0.025,2,512,64
270193,48,32,6,1.0,0.0,0.025,2,512,128
270194,48,32,6,1.0,0.0,0.025,2,512,256
270195,48,32,6,1.0,0.0,0.025,2,1024,64
270196,48,32,6,1.0,0.0,0.025,2,1024,128
270197,48,32,6,1.0,0.0,0.025,2,1024,256
270198,48,32,6,1.0,0.0,0.025,3,256,64
270199,48,32,6,1.0,0.0,0.025,3,256,128
270200,48,32,6,1.0,0.0,0.025,3,256,256
270201,48,32,6,1.0,0.0,0.025,3,512,64
270202,48,32,6,1.0,0.0,0.025,3,512,128
270203,48,32,6,1.0,0.0,0.025,3,512,256
270204,48,32,6,1.0,0.0,0.025,3,1024,64
270205,48,32,6,1.0,0.0,0.025,3,1024,128
270206,48,32,6,1.0,0.0,0.025,3,1024,256
270207,48,32,6,1.0,0.0,0.025,4,256,64
270208,48,32,6,1.0,0.0,0.025,4,256,128
270209,48,32,6,1.0,0.0,0.025,4,256,256
270210,48,32,6,1.0,0.0,0.025,4,512,64
270211,48,32,6,1.0,0.0,0.025,4,512,128
270212,48,32,6,1.0,0.0,0.025,4,512,256
270213,48,32,6,1.0,0.0,0.025,4,1024,64
270214,48,32,6,1.0,0.0,0.025,4,1024,128
270215,48,32,6,1.0,0.0,0.025,4,1024,256
270216,48,32,6,1.0,0.0,0.025,5,256,64
270217,48,32,6,1.0,0.0,0.025,5,256,128
270218,48,32,6,1.0,0.0,0.025,5,256,256
270219,48,32,6,1.0,0.0,0.025,5,512,64
270220,48,32,6,1.0,0.0,0.025,5,512,128
270221,48,32,6,1.0,0.0,0.025,5,512,256
270222,48,32,6,1.0,0.0,0.025,5,1024,64
270223,48,32,6,1.0,0.0,0.025,5,1024,128
270224,48,32,6,1.0,0.0,0.025,5,1024,256
270225,48,32,6,1.0,0.0001,0.005,1,256,64
270226,48,32,6,1.0,0.0001,0.005,1,256,128
270227,48,32,6,1.0,0.0001,0.005,1,256,256
270228,48,32,6,1.0,0.0001,0.005,1,512,64
270229,48,32,6,1.0,0.0001,0.005,1,512,128
270230,48,32,6,1.0,0.0001,0.005,1,512,256
270231,48,32,6,1.0,0.0001,0.005,1,1024,64
270232,48,32,6,1.0,0.0001,0.005,1,1024,128
270233,48,32,6,1.0,0.0001,0.005,1,1024,256
270234,48,32,6,1.0,0.0001,0.005,2,256,64
270235,48,32,6,1.0,0.0001,0.005,2,256,128
270236,48,32,6,1.0,0.0001,0.005,2,256,256
270237,48,32,6,1.0,0.0001,0.005,2,512,64
270238,48,32,6,1.0,0.0001,0.005,2,512,128
270239,48,32,6,1.0,0.0001,0.005,2,512,256
270240,48,32,6,1.0,0.0001,0.005,2,1024,64
270241,48,32,6,1.0,0.0001,0.005,2,1024,128
270242,48,32,6,1.0,0.0001,0.005,2,1024,256
270243,48,32,6,1.0,0.0001,0.005,3,256,64
270244,48,32,6,1.0,0.0001,0.005,3,256,128
270245,48,32,6,1.0,0.0001,0.005,3,256,256
270246,48,32,6,1.0,0.0001,0.005,3,512,64
270247,48,32,6,1.0,0.0001,0.005,3,512,128
270248,48,32,6,1.0,0.0001,0.005,3,512,256
270249,48,32,6,1.0,0.0001,0.005,3,1024,64
270250,48,32,6,1.0,0.0001,0.005,3,1024,128
